NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
195	423.584	4.116	83.207	3.526	0.002	0.999	30000.0
196	320.578	3.106	59.092	2.54	0.001	0.999	20000.0
197	435.236	4.261	78.006	3.336	0.002	0.999	20000.0
198	324.691	3.169	54.468	2.324	0.002	0.999	20000.0
199	376.761	3.651	76.401	3.252	0.002	0.999	30000.0
200	402.985	3.918	82.682	3.486	0.002	0.999	20000.0
201	376.715	3.68	66.477	2.802	0.002	0.999	20000.0
202	375.93	3.652	74.295	3.132	0.002	1.0	20000.0
203	413.782	4.037	82.056	3.461	0.002	0.999	30000.0
204	395.341	3.852	72.176	3.063	0.002	1.0	40000.0
205	361.187	3.518	63.775	2.658	0.002	0.999	20000.0
206	357.684	3.495	67.234	2.819	0.002	1.0	20000.0
207	345.154	3.352	65.37	2.783	0.002	1.0	20000.0
208	387.369	3.754	71.296	3.001	0.002	0.999	20000.0
209	395.791	3.843	80.803	3.423	0.002	0.999	20000.0
210	420.651	4.084	71.371	3.005	0.002	0.999	30000.0
211	329.886	3.212	56.06	2.354	0.002	0.999	20000.0
212	411.367	4.018	64.394	2.737	0.002	1.0	30000.0
213	370.296	3.587	76.972	3.284	0.002	0.999	40000.0
214	366.434	3.554	76.439	3.188	0.002	0.999	20000.0
215	380.559	3.688	64.919	2.744	0.002	0.999	20000.0
216	356.795	3.456	64.658	2.739	0.002	0.999	30000.0
217	410.157	3.979	79.599	3.351	0.002	0.999	20000.0
218	361.167	3.508	81.742	3.441	0.002	1.0	30000.0
219	433.771	4.23	89.112	3.795	0.002	0.999	20000.0
220	366.635	3.562	58.657	2.472	0.002	1.0	20000.0
221	437.519	4.285	75.804	3.237	0.003	0.999	20000.0
222	429.72	4.196	72.042	3.048	0.002	0.999	20000.0
223	409.591	3.996	77.183	3.281	0.002	0.999	20000.0
224	354.488	3.438	56.85	2.378	0.002	1.0	20000.0
225	382.971	3.727	64.106	2.719	0.002	1.0	20000.0
226	343.413	3.33	60.731	2.571	0.002	0.999	20000.0
227	423.247	4.109	83.764	3.521	0.002	0.999	20000.0
228	422.2	4.109	90.013	3.846	0.002	0.999	30000.0
229	345.43	3.363	56.097	2.352	0.002	1.0	20000.0
230	427.819	4.188	80.143	3.458	0.002	0.999	30000.0
231	321.147	3.12	71.7	3.052	0.001	0.999	30000.0
232	337.475	3.309	66.829	2.895	0.002	0.999	20000.0
233	406.796	3.966	68.997	2.912	0.002	1.0	20000.0
234	360.498	3.525	70.383	2.997	0.002	1.0	30000.0
235	352.951	3.427	58.163	2.451	0.002	1.0	30000.0
236	351.367	3.428	62.98	2.675	0.002	0.999	30000.0
237	354.18	3.431	65.994	2.814	0.002	0.999	20000.0
238	344.153	3.335	66.811	2.825	0.002	0.999	30000.0
239	333.765	3.272	56.635	2.467	0.002	0.999	20000.0
240	393.802	3.82	75.254	3.197	0.002	0.999	30000.0
241	342.633	3.331	56.635	2.376	0.002	1.0	20000.0
242	328.695	3.197	63.42	2.665	0.002	1.0	20000.0
243	398.424	3.891	67.51	2.89	0.002	1.0	20000.0
244	420.399	4.098	66.008	2.793	0.003	1.0	20000.0
245	376.377	3.646	69.891	2.962	0.002	0.999	20000.0
246	368.208	3.569	76.614	3.264	0.002	0.999	20000.0
247	395.506	3.867	68.192	2.89	0.002	1.0	20000.0
248	337.208	3.27	68.663	2.902	0.001	0.999	30000.0
249	426.8	4.138	80.708	3.388	0.002	0.999	20000.0
250	412.535	4.01	76.509	3.21	0.002	1.0	20000.0
251	404.114	3.918	74.519	3.199	0.002	0.999	30000.0
252	354.592	3.45	62.456	2.623	0.002	1.0	40000.0
253	362.531	3.519	65.215	2.741	0.002	0.999	20000.0
254	394.878	3.835	69.615	2.959	0.002	0.999	20000.0
255	381.475	3.71	78.346	3.33	0.002	1.0	20000.0
256	398.66	3.877	66.552	2.795	0.002	1.0	20000.0
257	437.607	4.283	85.499	3.621	0.002	0.999	20000.0
258	452.456	4.428	88.245	3.742	0.002	0.999	20000.0
259	434.567	4.229	77.469	3.252	0.002	0.999	20000.0
260	334.103	3.236	52.192	2.203	0.002	0.999	30000.0
261	484.441	4.709	112.209	4.747	0.002	0.999	40000.0
262	430.857	4.186	83.026	3.502	0.002	1.0	20000.0
